Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2022,17/02/2022,048,A2022048,VNP46A2,002,h33v11,VNP46A2.A2022048.h33v11.002.2025116052454 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,02/03/2022,061,A2022061,VNP46A2,002,h33v11,VNP46A2.A2022061.h33v11.002.2025116163024 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,05/03/2022,064,A2022064,VNP46A2,002,h33v11,VNP46A2.A2022064.h33v11.002.2025116185515 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,11/03/2022,070,A2022070,VNP46A2,002,h33v11,VNP46A2.A2022070.h33v11.002.2025117000400 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,29/03/2022,088,A2022088,VNP46A2,002,h33v11,VNP46A2.A2022088.h33v11.002.2025117161538 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,03/04/2022,093,A2022093,VNP46A2,002,h33v11,VNP46A2.A2022093.h33v11.002.2025117204413 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,09/04/2022,099,A2022099,VNP46A2,002,h33v11,VNP46A2.A2022099.h33v11.002.2025118021531 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2022,26/04/2022,116,A2022116,VNP46A2,002,h33v11,VNP46A2.A2022116.h33v11.002.2025118185445 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
