Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2025,15/01/2025,015,A2025015,VNP46A2,002,h33v11,VNP46A2.A2025015.h33v11.002.2025047185242 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,18/01/2025,018,A2025018,VNP46A2,002,h33v11,VNP46A2.A2025018.h33v11.002.2025047194926 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,22/01/2025,022,A2025022,VNP46A2,002,h33v11,VNP46A2.A2025022.h33v11.002.2025047212008 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,23/01/2025,023,A2025023,VNP46A2,002,h33v11,VNP46A2.A2025023.h33v11.002.2025047215429 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,25/01/2025,025,A2025025,VNP46A2,002,h33v11,VNP46A2.A2025025.h33v11.002.2025047223816 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,26/01/2025,026,A2025026,VNP46A2,002,h33v11,VNP46A2.A2025026.h33v11.002.2025047224826 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,28/01/2025,028,A2025028,VNP46A2,002,h33v11,VNP46A2.A2025028.h33v11.002.2025047230534 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,29/01/2025,029,A2025029,VNP46A2,002,h33v11,VNP46A2.A2025029.h33v11.002.2025047231335 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,01/02/2025,032,A2025032,VNP46A2,002,h33v11,VNP46A2.A2025032.h33v11.002.2025047234844 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2025,02/02/2025,033,A2025033,VNP46A2,002,h33v11,VNP46A2.A2025033.h33v11.002.2025048000409 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
