Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2019,14/01/2019,014,A2019014,VNP46A2,002,h33v11,VNP46A2.A2019014.h33v11.002.2025017165216 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2019,18/01/2019,018,A2019018,VNP46A2,002,h33v11,VNP46A2.A2019018.h33v11.002.2025017204851 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2019,21/01/2019,021,A2019021,VNP46A2,002,h33v11,VNP46A2.A2019021.h33v11.002.2025018001143 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2019,22/01/2019,022,A2019022,VNP46A2,002,h33v11,VNP46A2.A2019022.h33v11.002.2025018002959 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2019,23/01/2019,023,A2019023,VNP46A2,002,h33v11,VNP46A2.A2019023.h33v11.002.2025018005857 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2019,03/02/2019,034,A2019034,VNP46A2,002,h33v11,VNP46A2.A2019034.h33v11.002.2025018063617 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
