Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2021,26/01/2021,026,A2021026,VNP46A2,002,h33v11,VNP46A2.A2021026.h33v11.002.2025099143310 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,05/02/2021,036,A2021036,VNP46A2,002,h33v11,VNP46A2.A2021036.h33v11.002.2025099221852 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,07/02/2021,038,A2021038,VNP46A2,002,h33v11,VNP46A2.A2021038.h33v11.002.2025100001602 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,10/02/2021,041,A2021041,VNP46A2,002,h33v11,VNP46A2.A2021041.h33v11.002.2025100170159 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,11/02/2021,042,A2021042,VNP46A2,002,h33v11,VNP46A2.A2021042.h33v11.002.2025100180027 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,12/02/2021,043,A2021043,VNP46A2,002,h33v11,VNP46A2.A2021043.h33v11.002.2025100185508 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,21/02/2021,052,A2021052,VNP46A2,002,h33v11,VNP46A2.A2021052.h33v11.002.2025101024308 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,28/02/2021,059,A2021059,VNP46A2,002,h33v11,VNP46A2.A2021059.h33v11.002.2025101083356 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,01/03/2021,060,A2021060,VNP46A2,002,h33v11,VNP46A2.A2021060.h33v11.002.2025101091929 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,09/03/2021,068,A2021068,VNP46A2,002,h33v11,VNP46A2.A2021068.h33v11.002.2025101183113 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,12/03/2021,071,A2021071,VNP46A2,002,h33v11,VNP46A2.A2021071.h33v11.002.2025101210931 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,14/03/2021,073,A2021073,VNP46A2,002,h33v11,VNP46A2.A2021073.h33v11.002.2025101224917 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,21/03/2021,080,A2021080,VNP46A2,002,h33v11,VNP46A2.A2021080.h33v11.002.2025102045253 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,26/03/2021,085,A2021085,VNP46A2,002,h33v11,VNP46A2.A2021085.h33v11.002.2025102093020 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,29/03/2021,088,A2021088,VNP46A2,002,h33v11,VNP46A2.A2021088.h33v11.002.2025102122013 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,31/03/2021,090,A2021090,VNP46A2,002,h33v11,VNP46A2.A2021090.h33v11.002.2025102142241 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,01/04/2021,091,A2021091,VNP46A2,002,h33v11,VNP46A2.A2021091.h33v11.002.2025102151946 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2021,17/04/2021,107,A2021107,VNP46A2,002,h33v11,VNP46A2.A2021107.h33v11.002.2025103064107 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
