Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2023,02/02/2023,033,A2023033,VNP46A2,002,h33v11,VNP46A2.A2023033.h33v11.002.2025136013118 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,04/02/2023,035,A2023035,VNP46A2,002,h33v11,VNP46A2.A2023035.h33v11.002.2025136022636 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,12/02/2023,043,A2023043,VNP46A2,002,h33v11,VNP46A2.A2023043.h33v11.002.2025136045036 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,13/02/2023,044,A2023044,VNP46A2,002,h33v11,VNP46A2.A2023044.h33v11.002.2025136050809 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,15/02/2023,046,A2023046,VNP46A2,002,h33v11,VNP46A2.A2023046.h33v11.002.2025136055335 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,16/02/2023,047,A2023047,VNP46A2,002,h33v11,VNP46A2.A2023047.h33v11.002.2025136061424 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,18/02/2023,049,A2023049,VNP46A2,002,h33v11,VNP46A2.A2023049.h33v11.002.2025136063636 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,20/02/2023,051,A2023051,VNP46A2,002,h33v11,VNP46A2.A2023051.h33v11.002.2025136065529 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,26/02/2023,057,A2023057,VNP46A2,002,h33v11,VNP46A2.A2023057.h33v11.002.2025136075148 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,27/02/2023,058,A2023058,VNP46A2,002,h33v11,VNP46A2.A2023058.h33v11.002.2025136080113 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,28/02/2023,059,A2023059,VNP46A2,002,h33v11,VNP46A2.A2023059.h33v11.002.2025136081414 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,05/03/2023,064,A2023064,VNP46A2,002,h33v11,VNP46A2.A2023064.h33v11.002.2025136095707 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,06/03/2023,065,A2023065,VNP46A2,002,h33v11,VNP46A2.A2023065.h33v11.002.2025136101640 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,07/03/2023,066,A2023066,VNP46A2,002,h33v11,VNP46A2.A2023066.h33v11.002.2025136103502 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,08/03/2023,067,A2023067,VNP46A2,002,h33v11,VNP46A2.A2023067.h33v11.002.2025136105112 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,10/03/2023,069,A2023069,VNP46A2,002,h33v11,VNP46A2.A2023069.h33v11.002.2025136112105 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,11/03/2023,070,A2023070,VNP46A2,002,h33v11,VNP46A2.A2023070.h33v11.002.2025136113555 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,13/03/2023,072,A2023072,VNP46A2,002,h33v11,VNP46A2.A2023072.h33v11.002.2025136120508 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,14/03/2023,073,A2023073,VNP46A2,002,h33v11,VNP46A2.A2023073.h33v11.002.2025136122125 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,16/03/2023,075,A2023075,VNP46A2,002,h33v11,VNP46A2.A2023075.h33v11.002.2025136131518 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,17/03/2023,076,A2023076,VNP46A2,002,h33v11,VNP46A2.A2023076.h33v11.002.2025136133144 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,18/03/2023,077,A2023077,VNP46A2,002,h33v11,VNP46A2.A2023077.h33v11.002.2025136134131 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,20/03/2023,079,A2023079,VNP46A2,002,h33v11,VNP46A2.A2023079.h33v11.002.2025136135951 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,22/03/2023,081,A2023081,VNP46A2,002,h33v11,VNP46A2.A2023081.h33v11.002.2025136141626 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,23/03/2023,082,A2023082,VNP46A2,002,h33v11,VNP46A2.A2023082.h33v11.002.2025136142458 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2023,26/03/2023,085,A2023085,VNP46A2,002,h33v11,VNP46A2.A2023085.h33v11.002.2025136145131 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
