Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2020,24/01/2020,024,A2020024,VNP46A2,002,h33v11,VNP46A2.A2020024.h33v11.002.2025076231251 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,31/01/2020,031,A2020031,VNP46A2,002,h33v11,VNP46A2.A2020031.h33v11.002.2025077171015 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,16/02/2020,047,A2020047,VNP46A2,002,h33v11,VNP46A2.A2020047.h33v11.002.2025077231437 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,18/02/2020,049,A2020049,VNP46A2,002,h33v11,VNP46A2.A2020049.h33v11.002.2025078000317 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,19/02/2020,050,A2020050,VNP46A2,002,h33v11,VNP46A2.A2020050.h33v11.002.2025078001816 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,27/02/2020,058,A2020058,VNP46A2,002,h33v11,VNP46A2.A2020058.h33v11.002.2025078014642 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,01/03/2020,061,A2020061,VNP46A2,002,h33v11,VNP46A2.A2020061.h33v11.002.2025078022452 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,02/03/2020,062,A2020062,VNP46A2,002,h33v11,VNP46A2.A2020062.h33v11.002.2025078023925 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,06/03/2020,066,A2020066,VNP46A2,002,h33v11,VNP46A2.A2020066.h33v11.002.2025078040053 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,07/03/2020,067,A2020067,VNP46A2,002,h33v11,VNP46A2.A2020067.h33v11.002.2025078042757 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,16/03/2020,076,A2020076,VNP46A2,002,h33v11,VNP46A2.A2020076.h33v11.002.2025078071330 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2020,21/03/2020,081,A2020081,VNP46A2,002,h33v11,VNP46A2.A2020081.h33v11.002.2025078084856 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
