Year,Emergence_Date,DOY,VIIRS_Date_Code,VIIRS_Product,Collection,Tile,VIIRS_File,Status
2026,21/01/2026,021,A2026021,VNP46A2,002,h33v11,VNP46A2.A2026021.h33v11.002.2026029114212 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,23/01/2026,023,A2026023,VNP46A2,002,h33v11,VNP46A2.A2026023.h33v11.002.2026031134204 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,04/02/2026,035,A2026035,VNP46A2,002,h33v11,VNP46A2.A2026035.h33v11.002.2026043144418 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,08/02/2026,039,A2026039,VNP46A2,002,h33v11,VNP46A2.A2026039.h33v11.002.2026051150317 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,10/02/2026,041,A2026041,VNP46A2,002,h33v11,VNP46A2.A2026041.h33v11.002.2026051162039 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,18/02/2026,049,A2026049,VNP46A2,002,h33v11,VNP46A2.A2026049.h33v11.002.2026057143424 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,20/02/2026,051,A2026051,VNP46A2,002,h33v11,VNP46A2.A2026051.h33v11.002.2026059103540 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,22/02/2026,053,A2026053,VNP46A2,002,h33v11,VNP46A2.A2026053.h33v11.002.2026061112637 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,16/03/2026,075,A2026075,VNP46A2,002,h33v11,VNP46A2.A2026075.h33v11.002.2026090133637 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,30/03/2026,089,A2026089,VNP46A2,002,h33v11,VNP46A2.A2026089.h33v11.002.2026097110934 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,06/04/2026,096,A2026096,VNP46A2,002,h33v11,VNP46A2.A2026096.h33v11.002.2026104110755 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
2026,20/04/2026,110,A2026110,VNP46A2,002,h33v11,VNP46A2.A2026110.h33v11.002.2026132191406 — //HDFEOS/GRIDS/VIIRS_Grid_DNB_2d/Data_Fields/DNB_BRDF-Corrected_NTL,FOUND
